,Description,Price,Sq_feet
0,2 BHK Residential Apartment for rent in Gowlidoddy,18000,1400
1,3 BHK Residential Apartment for rent in Gachibowli,45000,1834
2,1 BHK Residential Apartment for rent in Domalguda,8000,330
3,"1 BHK Residential Apartment for rent in Hitex, Hitech city",8000,510
4,3 BHK Residential Apartment for rent in Whitefield,50000,1850
5,3 BHK Residential Apartment for rent in Kondapur,45000,1615
6,2 BHK Residential Apartment for rent in Puppalaguda,29000,1314
7,4 Bedroom Independent House for rent in Whitefield,70000,3200
8,4 BHK Residential Apartment for rent in Hi-Tech City,1.6,4070
9,2 BHK Residential Apartment for rent in Erragadda,14000,540
10,1 BHK Residential Apartment for rent in Kukatpally,9000,480
11,2 BHK Residential Apartment for rent in Kukatpally,11000,624
12,2 BHK Residential Apartment for rent in Madinaguda,15000,840
13,1 BHK Residential Apartment for rent in Kondapur,11000,450
14,3 BHK Residential Apartment for rent in Kondapur,21000,1110
15,2 BHK Residential Apartment for rent in Kukatpally,14000,660
16,1 BHK Residential Apartment for rent in Kukatpally,8000,360
17,2 BHK Residential Apartment for rent in Punjagutta,17000,600
18,3 BHK Residential Apartment for rent in Madhapur,34000,1080
19,3 BHK Residential Apartment for rent in Punjagutta,39000,1080
20,3 BHK Residential Apartment for rent in Miyapur,16000,780
21,3 BHK Residential Apartment for rent in Madhapur,44000,1020
22,3 BHK Residential Apartment for rent in KPHB,19000,960
23,2 BHK Residential Apartment for rent in Kukatpally,11000,600
24,2 BHK Residential Apartment for rent in Nizampet,9000,738
25,3 BHK Residential Apartment for rent in Madhapur,32000,1200
26,3 BHK Residential Apartment for rent in Madhapur,19000,1080
27,3 BHK Residential Apartment for rent in Madhapur,19000,1080
28,3 BHK Residential Apartment for rent in Madhapur,24000,1080
29,1 BHK Residential Apartment for rent in Madinaguda,9000,585
30,3 BHK Residential Apartment for rent in Kukatpally,29000,1140
31,3 BHK Residential Apartment for rent in Miyapur,19000,960
32,2 BHK Residential Apartment for rent in Begumpet,24000,780
33,1 BHK Residential Apartment for rent in Punjagutta,13000,270
34,3 BHK Residential Apartment for rent in KPHB,18000,900
35,2 BHK Residential Apartment for rent in Madhapur,17000,630
36,2 BHK Residential Apartment for rent in Nizampet,10000,735
37,3 BHK Residential Apartment for rent in Kondapur,26000,900
38,3 BHK Residential Apartment for rent in Nizampet,17000,1080
39,2 BHK Residential Apartment for rent in Kondapur,15000,810
40,1 BHK Residential Apartment for rent in Kondapur,10000,360
41,2 BHK Residential Apartment for rent in Kondapur,19000,525
42,1 BHK Residential Apartment for rent in Kondapur,9000,240
43,2 BHK Residential Apartment for rent in Kondapur,19005,720
44,3 BHK Residential Apartment for rent in Manikonda,22200,900
45,2 BHK Residential Apartment for rent in YousufGuda,11000,480
46,3 BHK Residential Apartment for rent in Whitefield,29000,1200
47,2 BHK Residential Apartment for rent in Kondapur,19005,660
48,3 BHK Residential Apartment for rent in Kondapur,41000,2100
49,2 BHK Residential Apartment for rent in Gachibowli,34000,812
50,2 BHK Residential Apartment for rent in Gachibowli,27000,588
51,3 BHK Residential Apartment for rent in Gachibowli,44005,660
52,1 BHK Residential Apartment for rent in Siddiq Nagar,5000,150
53,1 BHK Residential Apartment for rent in Siddiq Nagar,5000,150
54,1 BHK Residential Apartment for rent in Siddiq Nagar,12000,300
55,3 BHK Residential Apartment for rent in Hi-Tech City,37000,930
56,3 BHK Residential Apartment for rent in Kothaguda,35000,990
57,3 BHK Residential Apartment for rent in Hi-Tech,25000,790
58,2 BHK Residential Apartment for rent in LB Nagar,24000,990
59,3 BHK Residential Apartment for rent in Uppal,10000,600
60,2 BHK Residential Apartment for rent in Kukatpally,11000,630
61,3 BHK Residential Apartment for rent in Madinaguda,17000,960
62,2 BHK Residential Apartment for rent in Kondapur,10000,510
63,2 BHK Residential Apartment for rent in Kondapur,14000,450
64,1 BHK Residential Apartment for rent in Kukatpally,9500,360
65,3 BHK Residential Apartment for rent in Jubilee Hills,27000,1020
66,2 BHK Residential Apartment for rent in KPHB,13000,900
67,1 BHK Residential Apartment for rent in KPHB,7000,360
68,2 BHK Residential Apartment for rent in Kondapur,21000,600
69,3 BHK Residential Apartment for rent in Shaikpet,21000,930
70,1 BHK Residential Apartment for rent in Kondapur,9005,360
71,1 BHK Residential Apartment for rent in Kondapur,8005,270
72,2 BHK Residential Apartment for rent in Kukatpally,17000,780
73,1 BHK Residential Apartment for rent in Kondapur,9000,360
74,1 BHK Residential Apartment for rent in Manikonda,10000,390
75,2 BHK Residential Apartment for rent in Manikonda,16000,690
76,2 BHK Residential Apartment for rent in Manikonda,21000,600
77,1 BHK Residential Apartment for rent in Gachibowli,9000,300
78,1 BHK Residential Apartment for rent in Gachibowli,12500,450
79,1 BHK Residential Apartment for rent in Gachibowli,12500,450
80,2 BHK Residential Apartment for rent in Hafeezpet,15500,660
81,2 BHK Residential Apartment for rent in KPHB,10000,660
82,2 BHK Residential Apartment for rent in Kukatpally,9000,480
